"part3_id","Group","prop_correct","practice_prop"
"615cb147f04efc8a8c2ff1e5","SAQ",0.642857142857143,0.39
"66799043863669170269eedf","SAQ",0.657142857142857,0.44
"5f5a14224848f606446bbca8","SAQ",0.714285714285714,0.69
"616fd2048c982b1d27653870","Restudy",0.371428571428571,NA
"56ab6fd869b24700065cbdbd","SAQ",0.614285714285714,0.54
"5dee651e58776a51569d31f3","SAQ",0.8,0.76
"5f835b913ffc5f0fd6bc7492","Restudy",0.2,NA
"595d3afcdd044900012ce78a","Restudy",0.671428571428571,NA
"62c6ad01d7ad711abdf2eb4c","SAQ",0.671428571428571,0.49
"62b437a2dbff0b6b3d0121e4","Restudy",0.728571428571429,NA
"670be097fae6e39ea154f7df","Restudy",0.671428571428571,NA
"673741d5e8999c8a575d36b1","Restudy",0.414285714285714,NA
"5e4feb8037713502e9ed364b","SAQ",0.635714285714286,0.35
"676556ccb7aac9ede13d73c9","Restudy",0.371428571428571,NA
"66d31a1b0515fe747830bab9","SAQ",0.685714285714286,0.73
"5f5503ae8eeab9093c445251","SAQ",0.5,0.6
"628f7669ee68aabf3930123b","Restudy",0.535714285714286,NA
"6319ff03df1e7848122f18b1","Restudy",0.528571428571429,NA
"5efb79846ed89a0e53051c30","Restudy",0.514285714285714,NA
"56e324ade414dc000c8b40d0","Restudy",0.671428571428571,NA
"6978e42e661ece4dddd9eb44","Restudy",0.614285714285714,NA
"5f39a2fd2d394917284dd66f","Restudy",0.264285714285714,NA
"5d7f5edd19788b00010d954c","Restudy",0.471428571428571,NA
"5ea20fd571038c119083a8df","SAQ",0.514285714285714,0.56
"63f77a5dde1ea03305e119e0","Restudy",0.907142857142857,NA
"5bd2a0799afb5b00015be460","Restudy",0.614285714285714,NA
"6969682819258eddb397598e","SAQ",0.557142857142857,0.81
"5e90540a9622ec3628270555","Restudy",0.514285714285714,NA
"6765b501bf830acd8f0e20ba","Restudy",0.65,NA
"63ac36665e9b2bd1c2cda1ba","Restudy",0.407142857142857,NA
